time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,GPU,RAM,EMC,IRAM,SWAP,APE,NVENC,NVDEC,NVJPG,fan,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,power cur,power avg
2022-04-05 12:18:43.960068,0:11:25.450000,OFF,MAXN,32,28,30,28,0,1742244,1742244,1742244,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,29.5,31.5,1604,2099
2022-04-05 12:18:44.469043,0:11:25.960000,OFF,MAXN,34,31,27,26,0,1742328,1742328,1742328,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.5,1751,2096
2022-04-05 12:18:44.980167,0:11:26.470000,OFF,MAXN,32,29,31,41,0,1743100,1743100,1743100,0,25,OFF,OFF,OFF,0.0,37.0,33.0,30.0,30.5,31.5,2269,2098
2022-04-05 12:18:45.491441,0:11:26.980000,OFF,MAXN,29,25,26,20,0,1743124,1743124,1743124,0,25,OFF,OFF,OFF,0.0,37.0,33.0,30.0,30.0,31.5,2049,2097
2022-04-05 12:18:46.001653,0:11:27.490000,OFF,MAXN,44,33,31,31,0,1743620,1743620,1743620,0,25,OFF,OFF,OFF,0.0,37.0,33.0,30.0,29.5,31.5,1938,2096
2022-04-05 12:18:46.508725,0:11:27.990000,OFF,MAXN,32,28,26,24,0,1743596,1743596,1743596,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.5,1862,2094
2022-04-05 12:18:47.018038,0:11:28.500000,OFF,MAXN,33,29,27,34,0,1745892,1745892,1745892,0,25,OFF,OFF,OFF,0.0,37.0,34.0,30.0,30.0,31.75,2629,2098
2022-04-05 12:18:47.524320,0:11:29.010000,OFF,MAXN,31,23,28,20,0,1744536,1744536,1744536,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,1716,2095
2022-04-05 12:18:48.039060,0:11:29.530000,OFF,MAXN,31,41,31,28,0,1745020,1745020,1745020,0,25,OFF,OFF,OFF,0.0,37.0,33.0,30.0,30.0,32.25,1678,2092
2022-04-05 12:18:48.552806,0:11:30.040000,OFF,MAXN,33,27,26,26,0,1744804,1744804,1744804,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.5,30.0,32.25,1900,2090
2022-04-05 12:18:49.059610,0:11:30.550000,OFF,MAXN,29,35,34,28,0,1744820,1744820,1744820,0,25,OFF,OFF,OFF,0.0,37.0,34.0,30.0,30.5,31.75,2450,2093
2022-04-05 12:18:49.568164,0:11:31.050000,OFF,MAXN,32,29,24,21,37,1744520,1744520,1744520,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.75,1713,2090
2022-04-05 12:18:50.074149,0:11:31.560000,OFF,MAXN,34,27,31,27,0,1744552,1744552,1744552,0,25,OFF,OFF,OFF,0.0,36.5,34.0,30.0,30.0,31.5,1789,2087
2022-04-05 12:18:50.582497,0:11:32.070000,OFF,MAXN,27,29,30,28,0,1744588,1744588,1744588,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.5,31.5,2341,2089
2022-04-05 12:18:51.091933,0:11:32.580000,OFF,MAXN,33,31,21,22,0,1745072,1745072,1745072,0,25,OFF,OFF,OFF,0.0,36.5,33.5,30.0,30.0,31.75,2011,2089
2022-04-05 12:18:51.599463,0:11:33.090000,OFF,MAXN,32,29,26,21,0,1744896,1744896,1744896,0,25,OFF,OFF,OFF,0.0,37.0,33.5,30.0,30.0,31.75,1900,2087
2022-04-05 12:18:52.108883,0:11:33.590000,OFF,MAXN,36,34,26,26,0,1745224,1745224,1745224,0,25,OFF,OFF,OFF,0.0,37.0,33.0,30.0,30.0,31.75,1938,2086
2022-04-05 12:18:52.615779,0:11:34.100000,OFF,MAXN,31,29,30,30,0,1746280,1746280,1746280,0,25,OFF,OFF,OFF,0.0,37.5,33.5,32.5,30.5,31.75,2667,2091
2022-04-05 12:18:53.138006,0:11:34.620000,OFF,MAXN,28,28,29,29,0,1744936,1744936,1744936,0,25,OFF,OFF,OFF,0.0,37.0,34.0,30.0,30.0,31.75,1789,2088
2022-04-05 12:18:53.652921,0:11:35.140000,OFF,MAXN,33,32,28,25,0,1745436,1745436,1745436,0,25,OFF,OFF,OFF,0.0,36.5,33.0,30.0,30.0,31.75,1751,2086
