[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.62%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.06%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.25%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.03%,1.08%,43MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.38%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,6.67%,1.20%,47.43MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.11%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.95%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.50%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.20%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.53%,1.09%,43.01MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.55%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.43%,1.20%,47.44MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.80%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.95%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.50%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.20%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.53%,1.09%,43.01MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.55%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,7.43%,1.20%,47.44MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.80%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.60%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.73%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.71%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.40%,1.09%,43.14MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,6.55%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.70%,1.20%,47.44MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.56%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.60%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.73%,0.97%,38.32MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.71%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.40%,1.09%,43.14MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,6.55%,0.87%,34.32MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.70%,1.20%,47.44MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.56%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.55%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.88%,0.97%,38.33MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.47%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.21%,1.09%,43.01MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.99%,0.87%,34.33MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.50%,1.20%,47.44MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.27%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,18.55%,0.58%,23.02MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,14.88%,0.97%,38.33MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,10.47%,0.56%,22.2MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,13.21%,1.09%,43.01MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.99%,0.87%,34.33MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.50%,1.20%,47.44MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,6.27%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.64%,0.58%,23.03MiB / 3.871GiB
arm64_sar_ros2_slam_toolbox_run_1,13.62%,0.97%,38.33MiB / 3.871GiB
arm64_sar_ros2_robot_state_pub_run_1,11.56%,0.56%,22.21MiB / 3.871GiB
arm64_sar_ros2_base_control_run_1,12.71%,1.09%,43.03MiB / 3.871GiB
arm64_sar_ros2_rplidar_run_1,7.51%,0.87%,34.34MiB / 3.871GiB
arm64_sar_ros2_joint_state_pub_run_1,8.47%,1.20%,47.45MiB / 3.871GiB
arm64_sar_ros2_microros_run_1,5.50%,1.25%,49.46MiB / 3.871GiB
[2J[HNAME,CPU %,MEM %,MEM USAGE / LIMIT
arm64_sar_ros2_ekf_run_1,17.64%,0.58%,23.03MiB / 3.871GiB
